Frame ID,ArUco ID,Left-Up X,Left-Up Y,Right-Up X,Right-Up Y,Right-Down X,Right-Down Y,Left-Down X,Left-Down Y,Distance,Yaw,Pitch,Roll
50,0,398.0,278.0,412.0,276.0,412.0,293.0,399.0,295.0,2.0651535583110627,-0.25757513836147006,-0.7368473876979339,-2.7683593173962766
51,0,392.0,278.0,405.0,276.0,405.0,293.0,392.0,295.0,2.0587089590860677,-0.06781632702903916,0.6034591980020334,3.0396122960544427
52,0,385.0,279.0,399.0,276.0,399.0,294.0,386.0,295.0,2.0661006404733144,-0.07151643487216415,0.5489406727093923,3.0744763916695996
55,0,367.0,279.0,381.0,277.0,381.0,294.0,368.0,296.0,2.0747837323462277,-0.2740898311917674,-0.7857666805011484,-2.7469611969242074
56,0,362.0,280.0,375.0,278.0,375.0,294.0,362.0,296.0,2.1847536069120435,-0.08275878135128097,0.5015948991704023,3.0088275693000583
57,0,356.0,280.0,369.0,278.0,370.0,294.0,356.0,296.0,2.1979494341396393,-0.08794753977436179,0.43643592838495454,3.0421759635410113
58,0,350.0,280.0,364.0,278.0,364.0,295.0,351.0,297.0,2.081556127873768,-0.2836275534450724,-0.8134109919677088,-2.735526414454749
59,0,345.0,280.0,358.0,278.0,359.0,295.0,345.0,297.0,2.084026602298324,-0.07671304203516283,0.5005990504516481,3.0672539128482907
60,0,340.0,280.0,353.0,278.0,353.0,296.0,340.0,297.0,2.0347297048309243,-0.035077225519019664,0.5702952081494259,3.0914871286407286
61,0,334.0,281.0,348.0,279.0,348.0,296.0,335.0,297.0,2.163003152753624,-0.050591974250285665,0.44887759305968983,3.1086388073844735
62,0,329.0,281.0,342.0,279.0,343.0,296.0,330.0,298.0,2.103145193043116,-0.07641115340674426,0.5224327909136981,3.115331925661503
63,0,324.0,281.0,337.0,279.0,338.0,296.0,325.0,298.0,2.1059933966699984,-0.07670661497450665,0.5172365962677665,3.1149794875088346
64,0,319.0,281.0,332.0,279.0,333.0,296.0,320.0,298.0,2.1089394082697366,-0.07700024697798546,0.5121044986053527,3.1146347456780603
66,0,309.0,282.0,323.0,280.0,323.0,297.0,310.0,298.0,2.1775403640388107,-0.05308747105725769,0.4248617239703058,3.1053172333727197
67,0,305.0,282.0,318.0,280.0,318.0,297.0,305.0,298.0,2.1715469619059804,-0.04954509330451073,0.47213949457090115,3.067577036739946
68,0,300.0,282.0,313.0,280.0,314.0,297.0,301.0,299.0,2.1205170333186434,-0.07885330550384835,0.493216462295621,3.1122998227800722
69,0,295.0,282.0,308.0,280.0,309.0,297.0,296.0,299.0,2.1239302093128534,-0.0791290223196944,0.4883847864572303,3.1120092881250474
70,0,291.0,282.0,304.0,281.0,304.0,298.0,292.0,299.0,2.1417280743842095,-0.27095521734841127,-1.0040352346742625,-2.80394282317261
71,0,286.0,283.0,300.0,281.0,300.0,298.0,287.0,299.0,2.19316498981274,-0.05526834963983272,0.40422148698342375,3.102652077045998
72,0,282.0,283.0,295.0,281.0,296.0,297.0,283.0,299.0,2.260380144794835,-0.09206672886608844,0.40720594481249256,3.0953426856058455
73,0,277.0,283.0,290.0,281.0,291.0,298.0,278.0,300.0,2.1365243380710175,-0.08082270005782173,0.47152469794164975,3.1100045167719648
74,0,273.0,283.0,286.0,281.0,287.0,297.0,274.0,300.0,2.184201132583207,-0.39782043529431965,-0.9367907298457606,-2.633790357331413
75,0,269.0,283.0,282.0,282.0,282.0,298.0,269.0,300.0,2.197697659035954,-0.30814044887934955,-0.9696931885555565,-2.6869332009427196
76,0,264.0,284.0,277.0,281.0,278.0,298.0,265.0,300.0,2.1911971822521767,-0.11900705494838526,0.43304675578248053,3.056290082876615
77,0,260.0,284.0,273.0,282.0,274.0,298.0,261.0,300.0,2.278133392074384,-0.09374272756652194,0.38873228965973533,3.0937729221966404
78,0,256.0,283.0,269.0,282.0,269.0,299.0,256.0,300.0,2.1606068324457657,-0.017292330645486208,0.45293057150387184,3.1174899252297155
79,0,252.0,284.0,265.0,282.0,265.0,299.0,252.0,300.0,2.2118409101046073,-0.05439123440558694,0.42465480094346614,3.0639842474515993
80,0,247.0,284.0,260.0,282.0,261.0,299.0,248.0,300.0,2.2349407294998964,-0.056214589850766356,0.4112137352704043,-3.1353812492064663
81,0,243.0,284.0,256.0,282.0,257.0,299.0,244.0,301.0,2.1640884535530054,-0.08321220606942603,0.4417201878426899,3.107594047604292
82,0,239.0,284.0,252.0,282.0,253.0,299.0,240.0,301.0,2.1676647706078254,-0.08340345033446932,0.43838356247620824,3.1074517933079275
83,0,235.0,284.0,247.0,282.0,249.0,299.0,236.0,301.0,2.1778223844898053,-0.0822553374684607,0.47157143131594986,-3.1340954672217882
84,0,231.0,284.0,244.0,283.0,244.0,300.0,232.0,301.0,2.1907159563421694,-0.3288045196043744,-1.101845249491322,-2.7416477756277247
85,0,227.0,284.0,240.0,283.0,240.0,300.0,228.0,301.0,2.1945139313943733,-0.33382503366743843,-1.1082319157394405,-2.736257976490394
86,0,223.0,284.0,236.0,283.0,236.0,300.0,224.0,301.0,2.1983682487831513,-0.3389799626589964,-1.114605466603085,-2.73073977837306
87,0,219.0,285.0,232.0,283.0,232.0,300.0,220.0,301.0,2.255641806111543,-0.0545640601990007,0.4333944066678773,3.10928471881431
89,0,211.0,285.0,223.0,283.0,224.0,300.0,212.0,301.0,2.2717105082871716,-0.05317977014815995,0.4630090931803499,-3.1321534582297725
90,0,207.0,285.0,219.0,283.0,220.0,300.0,208.0,301.0,2.275911862716944,-0.05340506160174164,0.4597702458310322,-3.132475904514455
91,0,203.0,285.0,215.0,283.0,216.0,300.0,204.0,301.0,2.2801694306033644,-0.05362841489574749,0.45656379481298925,-3.132793962953069
